,0
132,"RT @RadioFreeTom: His best option, obvs, is to make peace and extract concessions from Ukraine. But if we enter the war and what's left of…"
133,"@_miniszterelnok The memorial to the victims of the Holocaust, ""Shoes on the banks of the Danube."" You know perfect… https://t.co/dtwCsFhZae"
134,"RT @BSBonner: Day 29: West still buying $1B daily in Russian oil &amp; gas, Sberbank &amp; others still on SWIFT, Ukraine still does not have the w…"
135,RT @WustFred: Nothing can atone for Hitler’s war of aggression against Ukraine in the last century. Likewise the Ukrainians won’t ever forg…
136,"RT @GlasnostGone: Russia's armed forces truly are dumb. This is a battery of 8 howitzers guns. Amount of ammo, shell casings &amp; their pitche…"
137,'I'm a civilian. I've never been in military service but from 2013 I started to  train heavily with one of the best… https://t.co/LmKH0SOM4T
138,RT @BBCTimFranks: BREAKING: confirmation from a Mariupol official of what would be the single worst loss of life in the Ukraine war so far…
139,"Putin’s bombs and missiles rain down, but he will never destroy Ukraine’s culture https://t.co/FENUss1fX7"
140,"Medical analogy about Europe buying RUS oil and gas. 
Ukraine is badly bleeding. The West helps to bandage the woun… https://t.co/O8KOviczE0"
141,"RT @RichardGrenell: Yikes. Joe Biden messages that Ukraine could give up territory to make peace with Russia.

This tacit approval is a gre…"
142,"@fodeballertoure @caitoz Ukraine has been in a civil war. The family of an acquaintance, lives in Ukraine, and is l… https://t.co/wzDLqQ4mou"
143,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
144,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
145,"RT @StillDelvingH: Indeed
If the ""I'm going to explode my nuke vest"" threat works for Ukraine's sky, Putin will consider it can work for al…"
146,RT @worldnews24u: Fighting rages around Kyiv as War in Ukraine enters second month:Ukrainian troops are recapturing towns east of Kyiv and…
147,"RT @UAWeapons: #Ukraine: Another Russian Iveco LMV ""Rys"" infantry mobility vehicle was destroyed by the Ukrainian forces. Location and date…"
148,@RVAwonk There are Russian soldiers who are taking up Zelenskyy on his offer of $$ for equipment &amp; allowing them to… https://t.co/FDQ2CV2Tk4
149,"RT @richimedhurst: They deleted it but I kept a screenshot.

The Ukrainian government actually posted this picture, acting like Ukraine has…"
150,"RT @batrag57: @sunick51 @BorisJohnson The UK is also funding refugee facilities close to the Ukraine border in countries like Poland.
Meanw…"
151,RT @End_TheFederalR: Russia threatens ‘universal nuclear war’ if NATO peacekeepers enter Ukraine https://t.co/USvl2uK39f https://t.co/FJ1Hf…
152,"RT @franakviacorka: After three days, my Twitter account was restored. It was stolen by the unknown with Russian IP. I am thankful to every…"
153,RT @jcokechukwu: BREAKING: Russia has announced the arrest warrant of George Soros. George is allegedly the main promoter of the Ukraine wa…
154,"RT @NatashaBertrand: President Biden and European Commission President Ursula von der Leyen have announced a joint Task Force ""to reduce Eu…"
155,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
156,"""Ukraine’s propaganda strategy earned it praise from a NATO commander who told the Washington Post, “They are reall… https://t.co/OhZZdCuz6X"
157,"Nazi coop in Ukraine 2014
#media #sovereignty #policy #Ukraine #z #v #svt #sovereignty #denazifier #sanctions… https://t.co/gfjoKvSBCS"
158,RT @UWCongress: UWC President @PaulGrod met with @AnnaFotyga_PE Member of the @EUParliament in Brussels to discuss Polish-Ukrainian coopera…
159,RT @christogrozev: Russian soldier runs over his commanding officer with a tank as revenge for the botched up operation that led to the dea…
160,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
161,"@jensstoltenberg @NATO For better or worse, Russia has 24 hours to suspend all attacks against Ukraine, and start t… https://t.co/hnNQhx7kxS"
162,Why not go all the way and ask for Ukraine to be gifted the trophy in #solidarity https://t.co/Hl2F31nB1D
163,"RT @Dimi: Admiral John Aquilino, head of Indo-Pacific command, on the real Chinese threat to Taiwan:  
“I don’t think anyone five months ag…"
164,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
165,"@_miniszterelnok 🆘❌🆘In the memory of Holocaust victims you have a monument ""Shoes on the Danube bank"" and u guyskno… https://t.co/SPQDrxD3SJ"
166,"RT @SteveHiltonx: any celebrity making TV or movies for Apple is complicit in genocide in China and war crimes in Ukraine

let's name names"
167,@AntacsB @almostboiling @IanDunt You must be thinking of Ireland sending military equipment to Ukraine (which it is… https://t.co/XCKeZOQ3hm
168,RT @Nadine_Writes: NEW: African refugees fleeing Ukraine are being detained in EU immigration facilities - while the EU welcomes white Ukra…
169,RT @POTUS: It was an honor to meet with European Commission President von der Leyen this morning. We are united in our condemnation of Russ…
170,Indian males arriving to claim asylum at dublin airport claiming there from ukraine  https://t.co/THmMN6vJxH
171,RT @SamRamani2: The Russian ambassador to Bulgaria claimed that the Bulgarian people do not support Ukraine. Sofia has responded in style.…
172,RT @RikardJozwiak: the NATO summit communique might be dry &amp; diplomatic but sources inside the room told me that there were a lot of concre…
173,RT @ukraine_world: Ukraine’s digital transformation ministry launched an NFT-museum of the war of putin's russia against Ukraine. It’s amaz…
174,@jacksonhinklle The Ukraine doesn't have any bio weapons programs https://t.co/5QTk29HYXR
175,"RT @ipacglobal: British, Lithuanian MPs: Defending Ukraine is defending Taiwan | CNA News

#IPAC 🇱🇹🇬🇧members @DSakaliene @ZygisPavilionis @…"
176,RT @RVAwonk: Holy crap. Ukraine is reportedly using facial recognition technology to identify dead Russian soldiers and notify their relati…
177,"For years my birthday wish was the US stopping the needless war in Afghanistan. Now that we got that, only took 20… https://t.co/8RSboA1CTO"
178,RT @USNATO: The world condemns Putin’s senseless war. The U.S. and our @NATO Allies will continue to provide security assistance to support…
179,RT @BBCRosAtkins: You’ll have seen the multiple false claims that Putin and his supporters are making about ‘Nazis’ in Ukraine. We’ve looke…
180,RT @AI__TECH: Distributor dumps Kaspersky to show solidarity with Ukraine https://t.co/7eL9Vbfavi #infosec https://t.co/P5H6CfkyH5
181,RT @nytimes: Finland’s national rail service will stop operating the Allegro train between Helsinki and St. Petersburg to align with sancti…
182,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
183,"@ShellieFrisina @pvossen @markmackinnon Ukraine is more than ""NATO worthy , more than many other countries that cou… https://t.co/7IjuWkoRYe"
184,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
185,"Paralyzed Ukrainian model Oksana Kononets recalls fleeing from Russian invasion: 'When will this end?'

https://t.co/ulZAE0ynaE"
186,RT @StarSvea: @Cheryl19382784 @ArmedForcesUkr Ukraine is rising from the ashes!!!😍😍😍😍
187,RT @ignaziocassis: Today I received my Hungarian counterpart János Áder 🇭🇺 for his 1st visit to #Switzerland – welcome to Neuhausen am Rhei…
188,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
189,RT @spriter99880: Map control in Ukraine https://t.co/n0B9cKhROp
190,RT @DAlperovitch: There is a pretty large intersection of people who had completely misread Putin by being convinced he would not invade Uk…
191,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
